subject,relationship,object
圣子,导演,李安
色·戒,导演,李安
与魔鬼共骑,导演,李安
绿巨人浩克,导演,李安
断背山,导演,李安
卧虎藏龙,导演,李安
冰风暴,导演,李安
理智与情感,导演,李安
暴君第三季,导演,大卫·叶茨
比利·林恩的中场战事,导演,李安
制造伍德斯托克,导演,李安
双子杀手,导演,李安
喜宴,导演,李安
饮食男女,导演,李安
北京人在纽约,导演,郑晓龙
北京人在纽约,导演,冯小刚
少女小渔,导演,张艾嘉
月亮背面,导演,冯小刚
暴君第二季,导演,davidyates
推手,导演,李安
一声叹息,导演,冯小刚
最后骑士,导演,guynormanbee
冤家父子,导演,王朔
冤家父子,导演,冯小刚
永失我爱,导演,冯小刚
暴君,导演,大卫·叶茨
关中刀客,导演,张建亚
关中刀客,导演,黄建新
甲方乙方,导演,冯小刚
少年派的奇幻漂流,导演,李安
手机,导演,冯小刚
大腕,导演,冯小刚
没完没了,导演,冯小刚
私人订制,导演,冯小刚
非诚勿扰2,导演,冯小刚
天下无贼,导演,冯小刚
我不是潘金莲,导演,冯小刚
非诚勿扰,导演,冯小刚
手机2,导演,冯小刚
一九四二,导演,冯小刚
一地鸡毛,导演,冯小刚
夜宴,导演,冯小刚
只有芸知道,导演,冯小刚
遭遇激情,导演,夏钢
大撒把,导演,夏钢
北辙南辕,导演,冯小刚
大阅兵,导演,陈凯歌
孩子王,导演,陈凯歌
集结号,导演,冯小刚
边走边唱,导演,陈凯歌
唐山大地震,导演,冯小刚
天生胆小,导演,彦小追
梅兰芳,导演,陈凯歌
霸王别姬,导演,陈凯歌
赵氏孤儿,导演,陈凯歌
吕布与貂蝉,导演,陈凯歌
风月,导演,陈凯歌
道士下山,导演,陈凯歌
和你在一起,导演,陈凯歌
搜索,导演,陈凯歌
芳华,导演,冯小刚
尘埃里开花,导演,陈凯歌
温柔地杀我,导演,陈凯歌
长津湖,导演,徐克
无极,导演,陈凯歌
2046,导演,王家卫
每个人都有他自己的电影,导演,西奥·安哲罗普洛斯
跟踪,导演,王家卫
蓝莓之夜,导演,王家卫
一代宗师,导演,王家卫
东邪西毒,导演,王家卫
爱神,导演,王家卫
花样年华,导演,王家卫
春光乍泄,导演,王家卫
旺角卡门,导演,王家卫
重庆森林,导演,王家卫
妖猫传,导演,陈凯歌
再战江湖,导演,张同祖
猎鹰计划,导演,罗文
猛鬼差馆,导演,王家卫
堕落天使,导演,王家卫
江湖龙虎斗,导演,张同祖
猛鬼学堂,导演,刘镇伟
神勇双响炮续集,导演,张同祖
最后胜利,导演,谭家明
摆渡人,导演,张嘉佳
空心大少爷,导演,陈勋奇
我要金龟婿,导演,陈勋奇
龙凤智多星,导演,黎应就
阿飞正传,导演,王家卫
地下铁,导演,马伟豪
初缠恋后的二人世界,导演,葛民辉
天下无双,导演,刘镇伟
渺渺,导演,程孝泽
逆光飞翔,导演,张荣吉
撞死了一只羊,导演,万玛才旦
大唐玄奘,导演,霍建起
彩云曲,导演,吴小云
射雕英雄传之东成西就,导演,刘镇伟
